domain,count,commercial
univie.ac.at,19,0
pitt.edu,18,0
wustl.edu,18,0
uoguelph.ca,18,0
data.org,18,0
udc.es,18,0
ucr.ac.cr,18,0
soton.ac.uk,18,0
stats.ox.ac.uk,18,0
inra.fr,18,0
stat.wisc.edu,18,0
ethz.ch,18,0
nhs.net,18,0
gatech.edu,18,0
uky.edu,17,0
edu.uah.es,17,0
obiba.org,17,0
dal.ca,17,0
ucsb.edu,17,0
colinfay.me,17,0
wiernik.org,17,0
maastrichtuniversity.nl,17,0
uni-koeln.de,17,0
proton.me,17,0
stat.byu.edu,17,0
depauw.edu,17,0
unipg.it,17,0
canberra.edu.au,17,0
st-andrews.ac.uk,17,0
ntnu.no,17,0
math.ku.dk,16,0
yahoo.com.br,16,0
ssi.dk,16,0
business-science.io,16,1
qmul.ac.uk,16,0
utk.edu,16,0
uwo.ca,16,0
bham.ac.uk,16,0
uic.edu,16,0
mac.com,16,0
uni.sydney.edu.au,16,0
post.bgu.ac.il,16,0
upc.edu,16,0
purdue.edu,16,0
unl.edu,16,0
ufmg.br,16,0
ucr.edu,16,0
lilly.com,16,1
fu-berlin.de,16,0
stis.ac.id,16,0
mtholyoke.edu,16,0
ccf.org,15,0
uni-oldenburg.de,15,0
live.unc.edu,15,0
unimib.it,15,0
ec.europa.eu,15,0
stat.columbia.edu,15,0
zju.edu.cn,15,0
u.nus.edu,15,0
snu.ac.kr,15,0
astrazeneca.com,15,1
ufpe.br,15,0
fau.de,15,0
sanofi.com,15,1
massey.ac.nz,15,0
uni-greifswald.de,15,0
rmutt.ac.th,15,0
unil.ch,15,0
bond.edu.au,15,0
gre.ac.uk,15,0
york.ac.uk,15,0
uniovi.es,14,0
hiddenelephants.co.uk,14,0
uni-hamburg.de,14,0
email.unc.edu,14,0
slu.se,14,0
dreamrs.fr,14,1
fishandwhistle.net,14,0
decsai.ugr.es,14,0
ksu.edu,14,0
lyle.smu.edu,14,0
ki.se,14,0
uniklinik-freiburg.de,14,0
well.ox.ac.uk,14,0
ucdenver.edu,14,0
temple.edu,14,0
exeter.ac.uk,14,0
fdv.uni-lj.si,14,0
ensae.fr,14,0
stat.auckland.ac.nz,14,0
rand.org,14,1
mq.edu.au,14,0
stat.fsu.edu,14,0
ehu.eus,14,0
uib.no,14,0
win-vector.com,14,1
civisanalytics.com,14,1
otago.ac.nz,14,0
uts.edu.au,14,0
kof.ethz.ch,14,0
gmu.edu,14,0
stamats.de,14,0
mitchelloharawild.com,14,0
ustc.edu.cn,13,0
uni-due.de,13,0
dtu.dk,13,0
umd.edu,13,0
rub.de,13,0
novonordisk.com,13,1
unibas.ch,13,0
aau.at,13,0
email.com,13,0
nanx.me,13,0
rossellhayes.com,13,0
dirk-schumacher.net,13,0
uvigo.gal,13,0
rapporter.net,13,0
stat.duke.edu,13,0
stat.psu.edu,13,0
sickkids.ca,13,0
mednet.ucla.edu,13,0
statslab.cam.ac.uk,13,0
ovgu.de,13,0
ism.ac.jp,13,0
boku.ac.at,13,0
google.com,13,1
uni-marburg.de,13,0
lumc.nl,13,0
latrobe.edu.au,13,0
ue.wroc.pl,13,0
univ-reunion.fr,13,0
mail.nih.gov,13,0
scharp.org,13,0
ieee.org,13,0
zuckarelli.de,13,0
bluematterscience.com,13,0
uni-jena.de,13,0
uni-bielefeld.de,13,0
statnet.org,13,0
canada.ca,13,0
phs.scot,13,0
plus.ac.at,12,0
econ.au.dk,12,0
rutgers.edu,12,0
ua.edu,12,0
wfu.edu,12,0
wias-berlin.de,12,0
arizona.edu,12,0
vcu.edu,12,0
ymail.com,12,0
normalesup.org,12,0
weizmann.ac.il,12,0
hku.hk,12,0
est.ufmg.br,12,0
univ-grenoble-alpes.fr,12,0
hec.ca,12,0
worldbank.org,12,0
UGent.be,12,0
usf.edu,12,0
glasgow.ac.uk,12,0
unisa.it,12,0
fedoraproject.org,12,0
symbolix.com.au,12,1
stat.rutgers.edu,12,0
mb706.com,12,0
baylor.edu,12,0
gmx.com,12,0
hiroshima-u.ac.jp,12,0
andrew.cmu.edu,12,0
ardata.fr,12,1
um.es,12,0
chello.at,12,0
uth.tmc.edu,12,0
westat.com,12,1
uni-bamberg.de,12,0
4dscape.com,12,1
iub.edu.pk,11,0
imbi.uni-heidelberg.de,11,0
uah.es,11,0
uclm.es,11,0
who.int,11,0
ime.eb.br,11,0
id.uff.br,11,0
pstat.ucsb.edu,11,0
iq.harvard.edu,11,0
colpos.mx,11,0
mango-solutions.com,11,1
uwyo.edu,11,0
free.fr,11,0
williams.edu,11,0
mskcc.org,11,0
g.ucla.edu,11,0
cgiar.org,11,0
kaust.edu.sa,11,0
med.uni-goettingen.de,11,0
uclouvain.be,11,0
aucklanduni.ac.nz,11,0
yahoo.se,11,0
enricoschumann.net,11,0
pfaffikus.de,11,0
sbg.ac.at,11,0
tuwien.ac.at,11,0
uni-bonn.de,11,0
gov.bc.ca,11,0
bnosac.be,11,1
unizar.es,11,0
miamioh.edu,11,0
education.gov.uk,11,0
insee.fr,11,0
univ-poitiers.fr,11,0
pnnl.gov,11,0
ices.dk,11,0
connect.ust.hk,11,0
inpe.br,11,0
mail.med.upenn.edu,11,0
ipea.gov.br,11,0
th-deg.de,11,0
agroscope.admin.ch,11,0
javeriana.edu.co,11,0
calvin.edu,10,0
acm.org,10,0
uca.es,10,0
arrow.apache.org,10,0
tno.nl,10,0
cantab.net,10,0
mail.sysu.edu.cn,10,0
stat.cmu.edu,10,0
upenn.edu,10,0
reed.edu,10,0
espol.edu.ec,10,0
uni-potsdam.de,10,0
fgv.br,10,0
insa-toulouse.fr,10,0
clayden.org,10,0
rwhite.no,10,0
abbvie.com,10,1
stat.stanford.edu,10,0
unicatt.it,10,0
njfu.edu.cn,10,0
umontpellier.fr,10,0
uni-ulm.de,10,0
umh.es,10,0
jyu.fi,10,0
mail.wvu.edu,10,0
openreliability.org,10,0
unistra.fr,10,0
lanl.gov,10,0
nrcan-rncan.gc.ca,10,0
jcarroll.com.au,10,0
icr.ac.uk,10,0
adenbuie.com,10,0
unimi.it,10,0
gesis.org,10,0
agrocampus-ouest.fr,10,0
ulaval.ca,10,0
h-da.de,10,0
hsc.utah.edu,10,0
oregonstate.edu,10,0
uni-rostock.de,10,0
ecdc.europa.eu,10,0
epiconcept.fr,10,1
aalto.fi,10,0
math.uminho.pt,10,0
for-cast.ca,10,1
h2o.ai,10,1
earthscope.org,10,0
tnagler.com,10,0
rwth-aachen.de,10,0
wwenjie.org,9,0
mail.ustc.edu.cn,9,0
uark.edu,9,0
alumni.ubc.ca,9,0
eawag.ch,9,0
ofb.gouv.fr,9,0
math.univ-toulouse.fr,9,0
uma.es,9,0
connect.hku.hk,9,0
mathematik.uni-goettingen.de,9,0
tsinghua.edu.cn,9,0
wzb.eu,9,0
uq.edu.au,9,0
uow.edu.au,9,0
decisionpatterns.com,9,0
biology.sdu.dk,9,0
biologie.uni-regensburg.de,9,0
dfci.harvard.edu,9,0
uthsc.edu,9,0
zhaw.ch,9,0
uhnresearch.ca,9,0
psychologie.uzh.ch,9,0
u.northwestern.edu,9,0
uoregon.edu,9,0
unine.ch,9,0
sjp.ac.lk,9,0
cumc.columbia.edu,9,0
gazi.edu.tr,9,0
ohri.ca,9,0
bwh.harvard.edu,9,0
cs.nmsu.edu,9,0
qub.ac.uk,9,0
silicovore.com,9,0
insight-rx.com,9,1
ucalgary.ca,9,0
isglobal.org,9,0
uniandes.edu.co,9,0
georgetown.edu,9,0
nyulangone.org,9,0
cefet-rj.br,9,0
sas.upenn.edu,9,0
oucru.org,9,0
vivaldi.net,9,0
cs.cas.cz,9,0
buffalo.edu,9,0
ssb.no,9,0
unican.es,9,0
alum.mit.edu,9,0
renkun.me,9,0
psykologi.uio.no,9,0
city.ac.uk,9,0
sunholo.com,9,1
hawaii.edu,9,0
live.fr,9,0
club.fr,9,0
cchmc.org,9,0
ctu.unibe.ch,8,0
hey.com,8,0
smu.edu,8,0
health.ucsd.edu,8,0
urv.cat,8,0
b-tu.de,8,0
essex.ac.uk,8,0
wakehealth.edu,8,0
science.oregonstate.edu,8,0
mail.harvard.edu,8,0
unicamp.br,8,0
univ-nantes.fr,8,0
slu.edu,8,0
seankross.com,8,0
hbs.edu,8,0
lmu.de,8,0
p-value.net,8,0
qut.edu.au,8,0
idsia.ch,8,0
usi.ch,8,0
sun.ac.za,8,0
uliege.be,8,0
utu.fi,8,0
mimuw.edu.pl,8,0
american.edu,8,0
pku.edu.cn,8,0
sdsu.edu,8,0
bryer.org,8,0
macalester.edu,8,0
utas.edu.au,8,0
korea.ac.kr,8,0
hotmail.co.jp,8,0
njit.edu,8,0
dkfz.de,8,0
sina.com,8,0
polito.it,8,0
amu.edu.pl,8,0
uni-wuerzburg.de,8,0
unisa.edu.au,8,0
gluonics.com,8,0
andrewheiss.com,8,0
sheffield.ac.uk,8,0
bam.de,8,0
amsterdamumc.nl,8,0
channing.harvard.edu,8,0
benjaminrich.net,8,0
lamolina.edu.pe,8,0
usach.cl,8,0
crunch.io,8,1
isac.cnr.it,8,0
stats.snu.ac.kr,8,0
richelbilderbeek.nl,8,0
aerg.edu.au,8,0
